ligand,best_score,mean_score,std_score,n_receptors,n_good,consensus,score_5AP7
phase2b_seed_2_16739265,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_1_122685543,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_2_11675244,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_0_9865515,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_1_10409068,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_4_156155310,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_4_162639718,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_3_443884,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_2_2387,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_4_25261227,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_4_59332218,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_2_6918877,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_2_49857317,-8.4,-8.4,0.0,1,1,False,-8.4
phase2b_seed_4_165414951,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_2_462958,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_4_137449220,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_2_164938183,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_0_46181428,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_4_58386288,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_0_24958200,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_4_24996879,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_4_164628676,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_2_58111426,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_4_53469617,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_1_46901383,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_2_72188645,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_0_11552706,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_4_44199470,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_1_44603362,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_4_53469815,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_4_53482332,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_1_23649245,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_1_9826322,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_0_66571548,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_2_58548219,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_4_91809176,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_4_53329531,-8.3,-8.3,0.0,1,1,False,-8.3
phase2b_seed_4_46232643,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_4_118034891,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_4_75163532,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_4_51034710,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_0_11610526,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_1_53252276,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_1_208947,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_2_58548152,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_4_165414909,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_2_462961,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_4_25262782,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_4_25261388,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_1_9951066,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_4_71288606,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_0_12136798,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_0_58124325,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_2_46927297,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_4_25113172,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_0_5496659,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_0_5329106,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_4_11270783,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_4_137441521,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_4_56932125,-8.2,-8.2,0.0,1,1,False,-8.2
phase2b_seed_4_124037111,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_4_67775470,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_4_67776704,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_4_137450100,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_2_58548190,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_2_462960,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_4_51035420,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_4_67501573,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_1_9864291,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_4_25255436,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_2_35802,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_1_71059525,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_0_51352361,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_0_6433122,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_4_56649450,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_1_44623946,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_4_57377741,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_2_216210,-8.1,-8.1,0.0,1,1,False,-8.1
phase2b_seed_4_46227572,-8.1,-8.1,0.0,1,1,False,-8.1
