ligand,affinity_kcal,hbond_total,hbond_pdon,hbond_ldon,hydrophobic,pi_stack,salt_bridge,water_bridge,hinge_residues,hbond_details,is_hinge_binder
phase2_7CHM_LIG_142416357,-9.259,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.83a=135.2 | GLY605(ldon)d=3.49a=134.5 | GLY605(ldon)d=2.99a=153.1,True
phase2_7CHM_LIG_142436048,-9.255,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.24a=148.1 | GLY605(ldon)d=2.98a=129.3,True
phase2_7CHM_LIG_118286387,-9.254,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.21a=155.9 | GLY605(ldon)d=3.77a=123.8,True
phase2_7CHM_LIG_117881532,-9.249,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.48a=150.5 | GLY605(ldon)d=3.16a=125.7 | GLY605(ldon)d=3.22a=142.3,True
phase2_7CHM_LIG_142416352,-9.241,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.25a=148.5 | GLU603(ldon)d=3.35a=103.1 | GLY605(ldon)d=2.97a=110.9 | GLY605(ldon)d=3.15a=109.9 | GLY605(ldon)d=3.15a=137.2,True
phase2_7CHM_LIG_155562324,-9.228,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.21a=149.0 | GLU603(ldon)d=3.04a=140.5 | GLU603(ldon)d=3.06a=132.5 | GLY605(ldon)d=3.31a=118.4,True
phase2_7CHM_LIG_142436084,-9.228,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.21a=149.3 | GLU603(ldon)d=3.13a=112.9 | GLY605(ldon)d=3.47a=113.0,True
phase2_7CHM_LIG_69920162,-9.197,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.18a=158.7 | GLY605(ldon)d=3.26a=139.7 | GLY605(ldon)d=3.70a=104.9,True
phase2_7CHM_LIG_142416363,-9.197,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.45a=150.8 | GLY605(ldon)d=2.93a=146.5 | GLY605(ldon)d=3.24a=148.9,True
phase2_7CHN_LIG_166866572,-9.196,5,1,4,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.18a=156.2 | GLU603(ldon)d=3.08a=125.0 | GLY605(ldon)d=3.50a=121.8 | GLY605(ldon)d=2.99a=128.0 | GLY605(ldon)d=2.92a=109.8,True
phase2_7CHM_LIG_155012414,-9.196,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.19a=148.4 | GLY605(ldon)d=3.38a=101.7,True
phase2_7CHM_LIG_142435998,-9.194,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.30a=153.5 | GLU603(ldon)d=3.13a=113.1 | GLY605(ldon)d=2.94a=133.7 | GLY605(ldon)d=3.37a=110.1,True
phase2_7CHM_LIG_118286393,-9.186,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.16a=149.0 | GLY605(ldon)d=2.93a=109.1,True
