ligand,seed,affinity_kcal,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,pIC50_pred,IC50_pred_nM,smiles,pIC50_gnn,pIC50_gnn_std,IC50_gnn_nM,gnn_confidence,vina_norm,pIC50_norm,combined_score_gnn
phase2_7CIL_LIG_142416375,7CIL_LIG,-7.961,2,1,324.39,3.09,3,7,107.24,6.877,132.83,CCNc1nc(Nc2cnn(C(C)C)c2C)nc2[nH]cc(C#N)c12,4.519,0.249,30281.48,low,0.6572205849013828,0.17698091382301911,0.417100749362201
phase2_7CHN_LIG_169729302,7CHN_LIG,-9.416,3,1,419.49,3.92,3,7,118.96,6.868,135.67,CC[C@@H](C)Nc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C#N)c12,4.553,0.192,28001.04,moderate,0.3273634096576738,0.19664545980335446,0.26200443473051416
phase2_7CHN_LIG_155691506,7CHN_LIG,-9.093,4,1,419.49,3.92,3,7,118.96,6.868,135.67,CC[C@H](C)Nc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C#N)c12,4.568,0.275,27051.93,low,0.40058943550215365,0.20532099479467872,0.30295521514841617
phase2_7CHN_LIG_168793585,7CHN_LIG,-9.416,3,0,419.49,3.92,3,7,118.96,6.868,135.67,CC[C@@H](C)Nc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C#N)c12,4.553,0.192,28001.04,moderate,0.3273634096576738,0.19664545980335446,0.26200443473051416
phase2_7CHM_LIG_146393630,7CHM_LIG,-7.116,4,2,464.5,3.85,2,7,116.16,6.86,138.19,COc1cc(C(=O)N2CCCCOCC2)c(F)cc1Nc1nc(C2CC2)c2c(C#N)c[nH]c2n1,4.838,0.275,14528.64,low,0.8487871231013376,0.3614806246385194,0.6051338738699286
phase2_7CHN_LIG_155109126,7CHN_LIG,-9.721,1,0,459.55,4.84,3,7,118.96,6.853,140.32,CCOc1cc(N2CCCC2=O)ccc1Nc1nc(NC2CCCCC2)c2c(C#N)c[nH]c2n1,4.616,0.154,24195.84,moderate,0.25821809113579675,0.23308270676691703,0.24565039895135687
phase2_7CHN_LIG_155118926,7CHN_LIG,-10.182,2,1,447.5,4.28,3,8,128.19,6.852,140.65,COc1cc(N2CCOC2=O)ccc1Nc1nc(NC2CCCCC2)c2c(C#N)c[nH]c2n1,4.542,0.158,28684.9,moderate,0.15370664248469715,0.19028340080971642,0.17199502164720679
phase2_7CHM_LIG_146393631,7CHM_LIG,-9.338,2,1,436.45,3.07,2,7,116.16,6.85,141.37,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1nc(C2CC2)c2c(C#N)c[nH]c2n1,4.807,0.241,15580.91,low,0.3450464747222853,0.343551185656449,0.34429883018936713
phase2_7CHN_LIG_155109123,7CHN_LIG,-10.311,4,1,461.53,3.69,3,8,128.19,6.843,143.5,COc1cc(N2CCOCC2=O)ccc1Nc1nc(NC2CCCCC2)c2c(C#N)c[nH]c2n1,4.661,0.201,21803.89,low,0.12446157333937873,0.2591093117408904,0.19178544254013458
phase2_7CHM_LIG_142416320,7CHM_LIG,-9.689,1,0,466.47,3.12,2,8,125.39,6.828,148.6,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1nc(OC2(C)CC2)c2c(C#N)c[nH]c2n1,4.794,0.32,16084.54,low,0.26547268193153467,0.33603238866396734,0.30075253529775103
