assay_chembl_id,canonical_smiles,document_chembl_id,molecule_chembl_id,standard_units,standard_value,units,value,IC50_nM,pIC50
CHEMBL3395662,Nc1nnc(-c2ccc3[nH]cc(-c4cncc(N5CCOCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394073,nM,1900.0,uM,1.9,1900.0,5.721246399047171
CHEMBL3395662,CC(C)Nc1cncc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,CHEMBL3393014,CHEMBL3394074,nM,945.0,uM,0.945,945.0,6.024568191490737
CHEMBL3395662,Nc1nnc(-c2ccc3[nH]cc(-c4cncc(NC5CCCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394164,nM,1220.0,uM,1.22,1220.0,5.913640169325252
CHEMBL3395662,Nc1nnc(-c2ccc3[nH]cc(-c4cncc(NC5CCCCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394165,nM,2600.0,uM,2.6,2600.0,5.585026652029182
CHEMBL3395662,CCOc1cccc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,CHEMBL3393014,CHEMBL3394166,nM,3730.0,uM,3.73,3730.0,5.428291168191312
CHEMBL3395662,CC(C)Oc1cccc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,CHEMBL3393014,CHEMBL3394167,nM,2220.0,uM,2.22,2220.0,5.653647025549361
CHEMBL3395662,Nc1nnc(-c2ccc3[nH]cc(-c4cccc(OC5CCCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394168,nM,6900.0,uM,6.9,6900.0,5.161150909262744
CHEMBL3395662,CCOc1cncc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,CHEMBL3393014,CHEMBL3394170,nM,2750.0,uM,2.75,2750.0,5.560667306169737
CHEMBL3395662,CC(C)Oc1cncc(-c2c[nH]c3ccc(-c4nnc(N)s4)cc23)n1,CHEMBL3393014,CHEMBL3394171,nM,2220.0,uM,2.22,2220.0,5.653647025549361
CHEMBL3395662,Nc1nnc(-c2ccc3[nH]cc(-c4cncc(OC5CCCC5)n4)c3c2)s1,CHEMBL3393014,CHEMBL3394172,nM,6540.0,uM,6.54,6540.0,5.184422251675732
CHEMBL3707582,CSc1ncc2ccc3c(C(N)=O)c(C)n(CCO)c3c2n1,CHEMBL3639053,CHEMBL3703180,nM,408.0,nM,408.0,408.0,6.38933983691012
