smiles,pIC50,IC50_nM,source,activity_type,chembl_id,MW,LogP,HBD,HBA
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5CCC5)c(NC5(C)CC5)nc34)[nH]c21,9.744727494896694,0.18,ChEMBL_IC50,IC50,,403.49,3.89,3,5
Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1NC1(C)CC1,9.73754891026957,0.183,ChEMBL_IC50,IC50,,347.42,3.7,3,4
CCc1cncc(-c2cc3c(cn2)cnn3-c2ccc(C3CC3)c(N3CCC[C@H](N)C3)n2)c1,9.73,0.18620871366628655,ChEMBL,Ki,CHEMBL3930816,439.57,4.24,1,7
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC(F)(F)F)c(NC(C)(C)C)nc34)[nH]c21,9.721246399047171,0.19,ChEMBL_IC50,IC50,,433.43,3.97,3,5
COCCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)cccc2c1=O,9.714442690992229,0.193,ChEMBL_IC50,IC50,,409.49,3.05,3,6
Cn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)CNC4=O)cccc2c1=O,9.714442690992229,0.193,ChEMBL_IC50,IC50,,351.41,2.38,3,5
CCc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)C,9.709965388637482,0.195,ChEMBL_IC50,IC50,,363.47,3.68,3,4
N[C@H]1CCCN(c2cccc(-c3n[nH]c4cnc(-c5cccnc5)cc34)n2)C1,9.7,0.19952623149688828,ChEMBL,Ki,CHEMBL3956349,371.45,3.01,2,6
CO[C@@H]1CCN(c2c(NC(=O)c3nc(-c4c(F)cccc4F)sc3N)cnn2C)CC[C@H]1N,9.7,0.19952623149688828,ChEMBL,Ki,CHEMBL3648724,477.54,2.6,3,9
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CC[C@@H](N)[C@@H](O)CC1,9.7,0.19952623149688828,ChEMBL,Ki,CHEMBL4453890,463.51,1.94,4,9
C/C1=C/C[C@H]2CNC(=O)c3cc([nH]c32)-c2cccc3nc(C)c(nc23)NC1,9.69897000433602,0.2,ChEMBL_IC50,IC50,,359.43,3.52,3,4
C[C@H]1NC(=O)c2cc(-c3c(F)ccc4c(=O)n(C)c(NC5(C)CCC5)nc34)[nH]c21,9.69897000433602,0.2,ChEMBL_IC50,IC50,,395.44,3.23,3,5
Cc1nc2cccc3c2nc1NCCCC[C@@H]1CNC(=O)c2cc-3[nH]c21,9.69897000433602,0.2,ChEMBL_IC50,IC50,,347.42,3.36,3,4
Cc1nc2cccc3c2nc1N[C@H](C)CCC[C@H]1CNC(=O)c2cc-3[nH]c21,9.69897000433602,0.2,ChEMBL_IC50,IC50,,361.45,3.74,3,4
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1N[C@@H]1CCC[C@H](N)C1,9.69897000433602,0.2,ChEMBL_IC50,IC50,,390.49,2.9,4,5
CC(C)Nc1nc2c(-c3cc4c([nH]3)[C@@H](C)NC4=O)c(F)ccc2c(=O)n1C1CC1,9.69897000433602,0.2,ChEMBL_IC50,IC50,,395.44,3.49,3,5
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C5CC5)c(NC5(C)CCC5)nc34)[nH]c21,9.69897000433602,0.2,ChEMBL_IC50,IC50,,403.49,3.89,3,5
Cc1nc2cccc(-c3cc4c([nH]3)[C@H](C)NC4=O)c2nc1NC1(C)CC1,9.69680394257951,0.201,ChEMBL_IC50,IC50,,347.42,3.7,3,4
Cc1nc2ccc(F)c(-c3cc4c([nH]3)[C@H](C)NC4=O)c2nc1NC(C)(C)C,9.69680394257951,0.201,ChEMBL_IC50,IC50,,367.43,4.09,3,4
Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CC(N)CCC3C)n2)n1,9.69,0.20417379446695316,ChEMBL,Ki,CHEMBL3976267,400.49,2.9,1,8
Cc1nc2cccc(-c3cc4c([nH]3)C(CO)NC4=O)c2nc1NC1CC1,9.67366413907125,0.212,ChEMBL_IC50,IC50,,349.39,2.28,4,5
COCCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)CNC4=O)cccc2c1=O,9.661543506395397,0.218,ChEMBL_IC50,IC50,,395.46,2.49,3,6
Cc1nc2cccc(-c3cc4c([nH]3)C3(CC3)NC4=O)c2nc1NC(C)(C)C,9.651695136951838,0.223,ChEMBL_IC50,IC50,,361.45,3.88,3,4
OCC#Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCNCC3)n2)n1,9.64,0.22908676527677702,ChEMBL,Ki,CHEMBL3934383,412.46,1.03,2,9
Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc([C@H]3CNCCC3(F)F)n2)n1,9.64,0.22908676527677702,ChEMBL,Ki,CHEMBL4076913,407.43,3.29,1,7
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5(O)CC5)c(NC(C)(C)C)nc34)[nH]c21,9.638272163982409,0.23,ChEMBL_IC50,IC50,,421.5,2.93,4,6
Cc1cncc(-c2cc3c(cn2)cnn3-c2ccc(C(F)F)c(N3CCC[C@H](N)C3)n2)n1,9.63,0.23442288153199178,ChEMBL,Ki,CHEMBL3940744,436.47,3.45,1,8
Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(C3CNCCC3(F)F)n2)n1,9.62,0.23988329190194949,ChEMBL,Ki,CHEMBL3926007,407.43,3.29,1,7
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)[nH]c(NC(C)(C)C)nc34)[nH]c21,9.619788758288394,0.24,ChEMBL_IC50,IC50,,351.41,2.93,4,4
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CC5(N)CC5)c(NC(C)(C)C)nc34)[nH]c21,9.619788758288394,0.24,ChEMBL_IC50,IC50,,420.52,2.9,4,6
Cc1nc2cccc(-c3cc4c([nH]3)C3(CC3)NC4=O)c2nc1NC1CC1,9.616184634019568,0.242,ChEMBL_IC50,IC50,,345.41,3.24,3,4
Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1NCC(F)F,9.60906489289662,0.246,ChEMBL_IC50,IC50,,357.36,3.41,3,4
c1cc(-c2n[nH]c3cnc(-c4cnn(CC5CC5)c4)cc23)nc(N2CCNCC2)c1,9.6,0.25118864315095824,ChEMBL,Ki,CHEMBL3634772,400.49,2.7,2,7
Cc1cncc(-c2cc3c(cn2)cnn3-c2cnc(C3CC3)c(N3CCC[C@H](N)C3)n2)n1,9.59,0.25703957827688645,ChEMBL,Ki,CHEMBL3920778,427.52,2.78,1,9
Cn1cc(-c2cc3c(-c4cccc(N5CCC[C@H](N)C5)n4)n[nH]c3cn2)cn1,9.59,0.25703957827688645,ChEMBL,Ki,CHEMBL3634758,374.45,2.35,2,7
Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](C)NC4=O)c2nc1N[C@H]1CCC[C@@H](NCC(F)(F)F)C1,9.573488738635424,0.267,ChEMBL_IC50,IC50,,472.52,4.61,4,5
Cc1nc2ccc(F)c(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)CO,9.5654310959658,0.272,ChEMBL_IC50,IC50,,383.43,2.54,4,5
CCC(C)(C)Nc1nc2c(-c3cc4c([nH]3)CCNC4=O)c(F)ccc2nc1C,9.560667306169735,0.275,ChEMBL_IC50,IC50,,381.46,3.96,3,4
Cc1cncc(-c2cc3c(cn2)cnn3-c2ccc(C#N)c(N3CCC[C@H](N)C3)n2)n1,9.54,0.28840315031266117,ChEMBL,Ki,CHEMBL3898989,411.47,2.38,1,9
C[C@@H]1[C@@H](N)CCCN1c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,9.537602002101044,0.29,ChEMBL_IC50,IC50,,435.48,4.13,2,7
Cc1nc2cccc(-c3cc4c([nH]3)CNC4=O)c2nc1NC1CC1,9.527243550682789,0.297,ChEMBL_IC50,IC50,,319.37,2.75,3,4
Cc1nc2cccc3c2nc1NC[C@@H](C)CC[C@H]1CNC(=O)c2cc-3[nH]c21,9.522878745280336,0.3,ChEMBL_IC50,IC50,,361.45,3.6,3,4
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(CCCS(C)(=O)=O)c(NC(C)(C)C)nc34)[nH]c21,9.522878745280336,0.3,ChEMBL_IC50,IC50,,471.58,2.84,3,7
CC1(Nc2cnc3cccc(-c4cc5c([nH]4)CCNC5=O)c3n2)CC1,9.522878745280336,0.3,ChEMBL_IC50,IC50,,333.4,2.88,3,4
Cc1nc2cccc3c2nc1N[C@@H](C)/C=C/C[C@H]1CNC(=O)c2cc-3[nH]c21,9.522878745280336,0.3,ChEMBL_IC50,IC50,,359.43,3.52,3,4
CC(C)(C)Nc1cnc2cccc(-c3cc4c([nH]3)CCNC4=O)c2n1,9.522878745280336,0.3,ChEMBL_IC50,IC50,,335.41,3.12,3,4
Cc1nc2cccc(-c3cc4c([nH]3)[C@@H](CCN)NC4=O)c2nc1NC(C)(C)C,9.522878745280336,0.3,ChEMBL_IC50,IC50,,378.48,3.28,4,5
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1(C)CC1,9.522878745280336,0.3,ChEMBL_IC50,IC50,,347.42,3.18,3,4
Cc1nc2ccc(F)c(-c3cc4c([nH]3)CCNC4=O)c2nc1NC(C)(C)C,9.522878745280336,0.3,ChEMBL_IC50,IC50,,367.43,3.57,3,4
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1N[C@H]1C[C@@H](N)C1,9.521433504406156,0.301,ChEMBL_IC50,IC50,,362.44,2.12,4,5
Cc1cncc(-c2cc3c(-c4cccc(N5CCNCC5)n4)n[nH]c3cn2)c1,9.52,0.30199517204020193,ChEMBL,Ki,CHEMBL3634782,371.45,2.8,2,6
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CC[C@@H](N)C(F)(F)CC1,9.52,0.30199517204020193,ChEMBL,Ki,CHEMBL4450356,483.5,3.22,3,8
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1C1CCC(N)C(F)CC1,9.52,0.30199517204020193,ChEMBL,Ki,CHEMBL4469964,464.52,3.98,3,7
C[C@@H]1CC[C@H](N)CN1c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,9.508638306165729,0.31,ChEMBL_IC50,IC50,,435.48,4.13,2,7
Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CCCC(N)CC1,9.5,0.31622776601683794,ChEMBL,Ki,CHEMBL3652626,447.52,2.97,3,8
Cc1cncc(-c2cc3c(cn2)cnn3-c2ccc(Cl)c(N3CCC[C@H](N)C3)n2)n1,9.5,0.31622776601683794,ChEMBL,Ki,CHEMBL3891851,420.91,3.16,1,8
Cc1cncc(-c2cc3c(cn2)cnn3-c2ccc(F)c(N3CCC[C@H](N)C3)n2)n1,9.5,0.31622776601683794,ChEMBL,Ki,CHEMBL3953164,404.45,2.65,1,8
CCc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCCNCC3)n2)n1,9.48,0.3311311214825908,ChEMBL,Ki,CHEMBL3943705,400.49,2.63,1,8
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1NC1(C(F)(F)F)CC1,9.471083299722345,0.338,ChEMBL_IC50,IC50,,401.39,3.73,3,4
OCCNc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCNCC3)n2)n1,9.45,0.354813389233576,ChEMBL,Ki,CHEMBL3946464,417.48,1.09,3,10
C[C@H]1NC(=O)c2cc(-c3cccc4c(=O)n(C)c(NC5(C)CC5)nc34)[nH]c21,9.438898616350944,0.364,ChEMBL_IC50,IC50,,363.42,2.7,3,5
O[C@H]1CNCCN(c2cccc(-n3ncc4cnc(-c5cnn(CC(F)(F)F)c5)cc43)n2)C1,9.43,0.3715352290971728,ChEMBL,Ki,CHEMBL3909280,458.45,2.01,2,9
