smiles,mps1_pIC50,aurora_pIC50,herg_pIC50
COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@]2(O)c2ccccc2)C2CC2)cc(OCCOC)c1,,,5.3
CC1CN(c2ccncc2Nc2ncc3ccc(-c4c(F)cccc4F)nn23)C(C)CN1,6.978810700930062,,
CCc1oc(CCc2cc(N3CCOCC3)cc(NCC(F)(F)F)n2)nc1C,,,5.8
Cc1nc2cccc(-c3cc4c([nH]3)CCNC4=O)c2nc1OC1CCC1,7.910094888560602,,
C[C@H]1CC[C@H](N)CN1c1ccncc1Nc1ncc2ccc(-c3ncccc3F)nn12,6.991399828238082,,
Fc1ccc(Nc2nc3c(-c4nnc[nH]4)cccc3c3cnccc23)c(F)c1,8.221848749616356,,
C[C@H]1CN(c2c(NC(=O)c3ccc(F)c(-c4c(F)cccc4F)n3)cnc3c2CC[C@@H]3O)C[C@@H](N)[C@@H]1O,7.0,,
O=C(O)c1cc2cc(Br)cc(NCCC3CCNCC3)c2o1,6.267606240177032,,
N[C@H]1C[C@@H](F)CN(c2ccncc2Nc2ncc3ccc(-c4ncccc4F)nn23)C1,7.962573502059376,,
CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3cc(F)c(F)c(F)c3F)c3ccc(Cl)cc32)CC1,,7.01,
Cc1cccc(N2CCN(CCNC(=O)c3cc(C(C)(C)C)n(C)c3C)CC2)c1C,,,4.93
O=C(NC1CCN(Cc2ccc3cc[nH]c3c2)CC1)c1cc(=O)c2ccc(F)cc2o1,,,5.6
Cc1oc(-c2ccc(Cl)cc2)nc1CCOc1cccc(C[C@@H]2C(=O)N(c3ccc(C(C)(C)C)cc3)[C@@H]2C(=O)O)c1,,,5.89
Cc1ncoc1-c1nnc(SCCCN[C@H]2CC[C@]3(c4ccc(C(F)(F)F)cc4)CC23)n1C,,,5.6
COc1ccc2ccc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2c1,,,4.47
COCCn1c(NC(C)(C)C)nc2c(-c3cc4c([nH]3)CNC4=O)cccc2c1=O,9.661543506395397,,
Cc1nc2cccc(-c3cc4c([nH]3)CNC4=O)c2nc1NC1(C)CC1,9.244125144327509,,
CNCc1cc(C(=O)NC)ccc1Oc1ccc(Cl)cc1Cl,,,5.75
Cc1ccccc1-c1cc2c(=O)n(CCN3CCN(c4ccccc4Cl)CC3)c(=O)[nH]c2[nH]1,,5.98,
O=C(NC1CCN(Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccccc2o1,,,8.17
Nc1sc(-c2c(F)cccc2F)nc1C(=O)Nc1cnc2[nH]ncc2c1N1CCC[C@H](N)C1,5.699,,
C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3ccc(F)cc3F)n2)C1,7.886056647693163,,
C[C@@H]1[C@@H](c2ccc(OCCCN3CCCC3)cc2)Oc2ccccc2S1(=O)=O,,,5.89
CC#C[C@@H](c1ccc(Oc2ccc(C(F)(F)F)cc2OC(F)F)cc1)[C@H]1OC(=O)NC1=O,,,5.47
COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2N2CCCCC2)c(C(=O)Nc2ccc(Cl)cn2)c1,,,6.7
Cc1ncoc1-c1nnc(SCCCN2C[C@@H]3C[C@]3(c3ccc(C(F)(F)F)cc3)C2)n1C,,,6.1
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(F)cc3)C2)n1C,,,5.7
Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21,5.0,,
COc1cccc(/C=C2\SC(=O)NC2=O)c1,7.397940008672037,,
CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCNC(=O)Oc5ccccc5)c4)n[nH]c2-3)CC1,,,5.56
