ligand,affinity_kcal,binds_hinge,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,RotBonds,HeavyAtoms,Rings,AromaticRings,passes_ro5,ro5_violations,passes_tpsa,passes_rotbonds,has_pains,pains_alerts,passes_adme
phase2_7CIL_LIG_129244941,-8.822,True,5,2,350.43,3.56,3,7,107.24,6,26,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155119025,-8.82,True,4,2,421.51,3.71,4,8,122.12,7,31,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286440,-8.814,True,5,2,415.43,2.72,2,7,101.6,6,30,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_141725010,-8.813,True,4,2,344.4,2.22,4,7,95.48,5,25,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286345,-8.812,True,4,2,428.47,2.64,2,7,95.61,6,31,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_155621801,-8.811,True,4,2,344.4,2.22,4,7,95.48,5,25,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436020,-8.808,True,2,0,494.49,4.29,3,6,85.52,5,35,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_129244943,-8.806,True,5,2,350.43,3.56,3,7,107.24,6,26,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490550,-8.793,True,1,0,353.38,2.18,2,6,92.37,4,26,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_148534597,-8.777,True,5,0,489.5,3.69,3,7,98.41,6,35,5,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142755084,-8.776,True,4,2,374.88,3.12,4,7,95.48,5,26,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_112499966,-8.746,True,4,2,416.87,2.88,3,7,104.4,5,29,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_126482550,-8.743,True,4,2,411.46,2.97,2,7,101.6,6,30,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286428,-8.737,True,5,2,397.44,2.58,2,7,101.6,6,29,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490581,-8.729,True,5,2,387.83,2.84,2,6,92.37,4,27,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146329790,-8.728,True,3,2,496.54,2.75,2,8,115.74,9,36,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416385,-8.727,True,4,2,350.43,3.62,3,7,107.24,5,26,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286451,-8.696,True,1,0,411.46,2.97,2,7,101.6,7,30,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490552,-8.693,True,5,2,382.42,2.22,3,7,104.4,5,28,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490551,-8.674,True,4,2,396.45,2.61,3,7,104.4,6,29,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_129266648,-8.671,True,5,2,339.45,4.0,3,6,83.45,6,25,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_145336712,-8.62,True,4,2,336.4,3.17,3,7,107.24,6,25,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_158224339,-8.609,True,3,0,339.45,4.0,3,6,83.45,6,25,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_57383019,-8.605,True,3,0,464.57,2.38,2,7,95.61,7,34,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416414,-8.605,True,5,0,478.48,4.02,3,7,104.4,6,34,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416321,-8.6,True,4,2,369.82,3.11,3,8,131.03,5,26,3,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490576,-8.582,True,4,2,430.9,3.27,3,7,104.4,6,30,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_129266632,-8.558,True,5,2,339.45,4.0,3,6,83.45,6,25,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416413,-8.553,True,1,0,350.43,3.62,3,7,107.24,5,26,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155119024,-8.551,True,4,2,351.41,3.23,4,7,124.67,6,26,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416303,-8.54,True,1,0,322.38,2.58,3,7,107.24,4,24,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155012431,-8.535,True,5,0,492.5,4.41,3,7,104.4,6,35,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_140767798,-8.525,True,1,0,438.46,4.23,2,6,96.73,6,32,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_122490553,-8.516,True,4,2,426.48,2.24,3,8,113.63,8,31,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436060,-8.476,True,5,0,493.49,3.86,3,7,100.74,8,35,4,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155118972,-8.448,True,4,2,381.44,3.0,4,8,133.9,7,28,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_157996794,-8.383,True,1,0,324.39,2.82,3,7,107.24,4,24,3,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142416325,-8.381,True,5,0,450.42,3.24,3,7,104.4,5,32,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_118286449,-8.35,True,4,2,399.45,2.61,4,7,121.39,8,29,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_127046342,-8.333,True,3,0,335.42,3.93,2,6,95.21,5,25,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416376,-8.311,True,1,0,335.38,2.38,3,8,131.03,4,25,3,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155119023,-8.311,True,4,2,337.39,2.98,4,7,124.67,5,25,3,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436016,-8.254,True,1,0,482.52,2.88,2,8,115.74,8,35,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_142436085,-8.082,True,3,0,450.5,2.72,3,8,124.53,8,33,4,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_127048092,-8.062,True,3,0,321.39,3.54,2,6,95.21,5,24,4,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_155532159,-7.976,True,3,0,369.43,3.2,2,6,92.37,6,27,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_155022217,-7.976,True,4,2,310.37,2.7,3,7,107.24,4,23,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_146851006,-7.97,True,2,0,310.37,2.7,3,7,107.24,4,23,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416375,-7.961,True,4,2,324.39,3.09,3,7,107.24,5,24,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_151591358,-7.855,True,5,2,282.31,1.74,3,7,107.24,4,21,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416394,-7.837,True,1,0,324.39,3.09,3,7,107.24,5,24,3,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_155118918,-7.83,True,1,0,487.56,4.61,3,8,128.19,5,36,6,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_155022147,-7.706,True,4,2,282.31,1.66,3,7,107.24,3,21,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_155022106,-7.688,True,4,2,282.31,1.66,3,7,107.24,3,21,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_157996792,-7.521,True,4,2,271.33,2.09,3,6,83.45,3,20,3,3,True,0,True,True,False,0,True
phase2_7CIL_LIG_142416341,-7.489,True,5,2,312.34,1.19,4,8,127.47,6,23,3,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146393630,-7.116,True,4,2,464.5,3.85,2,7,116.16,5,34,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146393701,-7.025,True,2,0,463.51,4.46,2,6,103.27,5,34,5,3,True,0,True,True,False,0,True
phase2_7CHM_LIG_146393637,-6.956,True,2,0,439.49,3.98,2,6,92.37,5,32,5,3,True,0,True,True,False,0,True
phase2_7CHN_LIG_59442331,-6.449,True,5,1,480.57,2.9,4,7,127.51,2,35,4,3,True,0,True,True,False,0,True
