ligand,affinity_kcal,pIC50_pred,IC50_pred_nM,combined_score,max_tanimoto,mean_tanimoto,nn_pIC50,in_ad_standard,in_ad_strict
phase2_7CIL_LIG_142416341,-7.489,6.255,556.05,,0.2105,0.1109,5.721,False,False
phase2_7CIL_LIG_177211774,-9.146,6.476,334.1,,0.2105,0.1107,7.796,False,False
phase2_7CIL_LIG_151591358,-7.855,6.445,358.77,,0.2093,0.1114,6.587,False,False
phase2_7CIL_LIG_142416394,-7.837,6.896,127.14,,0.2069,0.1014,8.549,False,False
phase2_7CIL_LIG_142416375,-7.961,6.877,132.83,,0.2045,0.1054,8.549,False,False
phase2_7CIL_LIG_129275440,-9.659,7.15,70.79,,0.2021,0.1262,10.0,False,False
phase2_7CIL_LIG_155022217,-7.976,7.039,91.34,,0.2,0.1022,6.616,False,False
phase2_7CIL_LIG_155022147,-7.706,6.545,285.3,,0.1977,0.1021,6.587,False,False
phase2_7CIL_LIG_142416408,-7.556,6.34,457.11,,0.1951,0.1009,8.77,False,False
phase2_7CIL_LIG_142416376,-8.311,6.376,420.7,,0.1807,0.0963,6.724,False,False
phase2_7CIL_LIG_155022106,-7.688,6.446,358.1,,0.1744,0.0975,8.082,False,False
