ligand,seed,affinity_kcal,gly605_contacts,glu603_contacts,MW,LogP,HBD,HBA,TPSA,pIC50_pred,IC50_pred_nM,smiles,leverage,in_ad_leverage
phase2_7CHM_LIG_146393631,7CHM_LIG,-9.338,2,1,436.45,3.07,2,7,116.16,6.85,141.37,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1nc(C2CC2)c2c(C#N)c[nH]c2n1,0.19447466353264806,True
phase2_7CHN_LIG_155109123,7CHN_LIG,-10.311,4,1,461.53,3.69,3,8,128.19,6.843,143.5,COc1cc(N2CCOCC2=O)ccc1Nc1nc(NC2CCCCC2)c2c(C#N)c[nH]c2n1,0.20587328025359647,True
phase2_7CHM_LIG_142416320,7CHM_LIG,-9.689,1,0,466.47,3.12,2,8,125.39,6.828,148.6,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1nc(OC2(C)CC2)c2c(C#N)c[nH]c2n1,0.20444884581468145,True
phase2_7CHN_LIG_164091414,7CHN_LIG,-8.898,1,0,432.49,3.52,3,9,125.7,6.817,152.57,COC[C@@H](C)Nc1nc(Nc2ccc(-n3ccnc3C)cc2OC)nc2[nH]cc(C#N)c12,0.15581950456185742,True
phase2_7CHN_LIG_155691527,7CHN_LIG,-8.898,1,0,432.49,3.52,3,9,125.7,6.817,152.57,COC[C@@H](C)Nc1nc(Nc2ccc(-n3ccnc3C)cc2OC)nc2[nH]cc(C#N)c12,0.15581950456185742,True
phase2_7CIL_LIG_127046343,7CIL_LIG,-7.469,1,0,321.39,3.47,2,6,95.21,6.814,153.61,N#CCC1(n2cc(Nc3ncnc4[nH]ccc34)cn2)CCCCC1,0.22614942260710344,False
phase2_7CIL_LIG_127046344,7CIL_LIG,-7.632,2,0,307.36,3.08,2,6,95.21,6.811,154.42,N#CCC1(n2cc(Nc3ncnc4[nH]ccc34)cn2)CCCC1,0.22635787339308264,False
phase2_7CHM_LIG_142416334,7CHM_LIG,-9.46,4,2,452.49,2.59,4,8,130.99,6.808,155.44,CNc1nc(Nc2cc(F)c(C(=O)NC3CCN(C)CC3)cc2OC)nc2[nH]cc(C#N)c12,0.1513837447713578,True
phase2_7CHM_LIG_142436048,7CHM_LIG,-9.255,2,0,424.44,2.84,3,7,115.3,6.807,156.11,CNc1cc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,0.1624178915512705,True
phase2_7CHN_LIG_155109134,7CHN_LIG,-9.608,2,1,419.45,2.52,3,8,128.19,6.799,158.81,COc1cc(N2CCCC2=O)ccc1Nc1nc(NC2COC2)c2c(C#N)c[nH]c2n1,0.22840979881716206,False
phase2_7CHN_LIG_166866535,7CHN_LIG,-10.03,3,1,451.56,4.03,3,9,111.12,6.796,159.9,COc1cc(N2CCCS2)ccc1Nc1nc(NC2CCOCC2)c2c(C#N)c[nH]c2n1,0.20766415072498629,True
phase2_7CHN_LIG_155109158,7CHN_LIG,-9.339,2,0,405.46,3.53,3,7,118.96,6.796,160.09,COc1cc(N2CCCC2=O)ccc1Nc1nc(NC(C)C)c2c(C#N)c[nH]c2n1,0.18931154677757175,True
phase2_7CHN_LIG_155109139,7CHN_LIG,-9.868,2,0,430.51,4.67,3,6,106.07,6.79,162.3,COc1cc(N2CCCC2=O)ccc1Nc1cc(NC2CCCC2)c2c(C#N)c[nH]c2n1,0.1925602353923005,True
phase2_7CHN_LIG_155118972,7CHN_LIG,-8.448,2,1,381.44,3.0,4,8,133.9,6.785,163.96,COCC(C)(C)Nc1nc(Nc2ccc(N)cc2OC)nc2[nH]cc(C#N)c12,0.13802339313934925,True
phase2_7CHN_LIG_155109147,7CHN_LIG,-10.341,3,1,444.54,5.06,3,6,106.07,6.783,164.69,COc1cc(N2CCCC2=O)ccc1Nc1cc(NC2CCCCC2)c2c(C#N)c[nH]c2n1,0.19188282014456023,True
phase2_7CIL_LIG_166635463,7CIL_LIG,-8.925,2,0,337.39,1.88,3,8,124.47,6.782,165.08,C[C@@H]1CCCN1c1c(C#N)c2c(N)nc(Nc3cn[nH]c3)nc2n1C,0.24457045405307246,False
phase2_7CHM_LIG_142416311,7CHM_LIG,-9.557,3,2,466.52,2.98,4,8,130.99,6.778,166.72,CCNc1nc(Nc2cc(F)c(C(=O)NC3CCN(C)CC3)cc2OC)nc2[nH]cc(C#N)c12,0.17757305540244137,True
phase2_7CHM_LIG_142416352,7CHM_LIG,-9.241,4,1,453.48,3.02,3,8,128.19,6.777,166.99,CCCNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,0.20768285425240915,True
phase2_7CHM_LIG_155012414,7CHM_LIG,-9.196,2,0,452.49,2.54,3,8,122.2,6.774,168.32,CNc1nc(Nc2cc(F)c(C(=O)N3CCN(C)C[C@@H]3C)cc2OC)nc2[nH]cc(C#N)c12,0.18438883827878258,True
phase2_7CHM_LIG_142416358,7CHM_LIG,-9.402,2,0,452.49,2.54,3,8,122.2,6.774,168.32,CNc1nc(Nc2cc(F)c(C(=O)N3CCN(C)C[C@H]3C)cc2OC)nc2[nH]cc(C#N)c12,0.18438883827878258,True
phase2_7CHN_LIG_155119025,7CHN_LIG,-8.82,3,1,421.51,3.71,4,8,122.12,6.771,169.26,CC[C@H](C)Nc1nc(Nc2ccc(N3CCC[C@H]3O)cc2OC)nc2[nH]cc(C#N)c12,0.15161697223349188,True
phase2_7CHM_LIG_77846573,7CHM_LIG,-10.158,2,0,472.55,4.8,5,7,124.19,6.758,174.65,CNC(=O)c1ccc(Nc2nc(NC3CCCC3)c3c(-c4ccc(O)cc4)c[nH]c3n2)c(OC)c1,0.15124754139069244,True
phase2_7CHM_LIG_142416363,7CHM_LIG,-9.197,3,0,425.42,2.23,3,8,128.19,6.74,181.91,CNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,0.17583417665696444,True
phase2_7CIL_LIG_166673091,7CIL_LIG,-8.971,3,1,330.37,1.74,4,7,95.48,6.723,189.22,C[C@H]1C[C@@H](Nc2nc(Nc3cnn(C)c3)nc3[nH]cc(F)c23)CN1,0.1500833762749414,True
phase2_7CHM_LIG_142416357,7CHM_LIG,-9.259,3,0,439.45,2.63,3,8,128.19,6.723,189.28,CCNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,0.2031965771937192,True
phase2_7CHN_LIG_166866595,7CHN_LIG,-8.89,1,0,407.48,3.32,4,8,122.12,6.722,189.88,COc1cc(N2CCC[C@H]2O)ccc1Nc1nc(NC(C)C)c2c(C#N)c[nH]c2n1,0.14216291782503138,True
phase2_7CHN_LIG_166866548,7CHN_LIG,-9.799,3,1,435.56,4.79,3,8,101.89,6.718,191.28,COc1cc(N2CCCS2)ccc1Nc1nc(NC2CCCC2)c2c(C#N)c[nH]c2n1,0.17906757016701733,True
phase2_7CHM_LIG_155012426,7CHM_LIG,-9.27,2,1,466.52,2.93,3,8,122.2,6.718,191.49,CCNc1nc(Nc2cc(F)c(C(=O)N3CCN(C)C[C@@H]3C)cc2OC)nc2[nH]cc(C#N)c12,0.20914738047825387,True
phase2_7CHM_LIG_142416333,7CHM_LIG,-9.468,1,0,466.52,2.93,3,8,122.2,6.718,191.49,CCNc1nc(Nc2cc(F)c(C(=O)N3CCN(C)C[C@H]3C)cc2OC)nc2[nH]cc(C#N)c12,0.20914738047825387,True
phase2_7CHM_LIG_142436041,7CHM_LIG,-9.903,2,1,454.48,4.49,3,6,106.07,6.713,193.79,CCNc1cc(Nc2ccc(C(=O)N3CCC(F)(F)CC3)cc2OC)nc2[nH]cc(C#N)c12,0.19531701715684927,True
phase2_7CIL_LIG_175716355,7CIL_LIG,-9.089,2,1,360.85,2.64,4,7,95.48,6.708,195.72,C[C@H]1CC[C@@H](Nc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)CN1,0.1830890898076356,True
phase2_7CHN_LIG_155691552,7CHN_LIG,-9.529,3,2,419.49,3.78,3,7,118.96,6.703,198.02,COc1cc(N2CCCC2=O)ccc1Nc1nc(NCC(C)C)c2c(C#N)c[nH]c2n1,0.2267009549094867,False
phase2_7CHN_LIG_155118997,7CHN_LIG,-10.735,1,1,476.54,3.78,3,8,136.39,6.702,198.52,COc1cc(N2CCCC2=O)ccc1Nc1nc(O[C@H]2CC[C@@](C)(O)CC2)c2c(C#N)c[nH]c2n1,0.2265992980817051,False
phase2_7CHM_LIG_146393798,7CHM_LIG,-9.307,3,0,478.45,4.82,2,5,79.48,6.692,203.12,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1cc(C2CC2)c2c(C(F)(F)F)c[nH]c2n1,0.17132633974633757,True
phase2_7CIL_LIG_127048092,7CIL_LIG,-8.062,1,0,321.39,3.54,2,6,95.21,6.688,204.99,N#CC[C@@H](C1CCCC1)n1cc(Nc2ncnc3[nH]ccc23)cn1,0.178146566887519,True
phase2_7CIL_LIG_127046342,7CIL_LIG,-8.333,2,0,335.42,3.93,2,6,95.21,6.687,205.59,N#CC[C@@H](C1CCCCC1)n1cc(Nc2ncnc3[nH]ccc23)cn1,0.17793499015289632,True
phase2_7CHM_LIG_146312779,7CHM_LIG,-8.605,3,0,494.49,4.29,3,6,85.52,6.685,206.63,CNc1cc(Nc2cc(F)c(C(=O)N3CCN(C)C[C@@H]3C)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.16875712570712023,True
phase2_7CHN_LIG_155118894,7CHN_LIG,-10.293,4,3,444.5,3.67,3,9,125.7,6.685,206.64,COc1cc(-n2ccnc2C)ccc1Nc1nc(NC2CCOCC2)c2c(C#N)c[nH]c2n1,0.1819079313665393,True
phase2_7CHM_LIG_142436020,7CHM_LIG,-8.808,2,0,494.49,4.29,3,6,85.52,6.685,206.63,CNc1cc(Nc2cc(F)c(C(=O)N3CCN(C)C[C@H]3C)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.16875712570712023,True
phase2_7CHN_LIG_155119000,7CHN_LIG,-10.86,5,1,456.55,5.13,3,8,116.47,6.679,209.57,COc1cc(-n2cc(C)nc2C)ccc1Nc1nc(NC2CCCCC2)c2c(C#N)c[nH]c2n1,0.17334333271726282,True
phase2_7CHN_LIG_155118908,7CHN_LIG,-8.956,4,1,365.44,3.62,4,7,124.67,6.674,211.98,COc1cc(N)ccc1Nc1nc(NCC(C)(C)C)c2c(C#N)c[nH]c2n1,0.17457085195576516,True
phase2_7CHN_LIG_166866573,7CHN_LIG,-9.067,4,1,421.46,2.85,4,8,139.19,6.654,222.06,CC[C@@H](O)Nc1nc(Nc2ccc(N3CCCC3=O)cc2OC)nc2[nH]cc(C#N)c12,0.21259892312734413,False
phase2_7CHM_LIG_146329790,7CHM_LIG,-8.728,3,2,496.54,2.75,2,8,115.74,6.646,225.99,COCCN(C)c1cc(NCc2cc(F)c(C(=O)N3CCOCC3)cc2OC)nc2[nH]cc(C#N)c12,0.2046077777375098,True
phase2_7CHM_LIG_146329895,7CHM_LIG,-9.852,4,1,450.52,4.58,3,6,106.07,6.644,226.73,CCNc1cc(Nc2ccc(C(=O)N3CCC(C)(F)CC3)cc2OC)nc2[nH]cc(C#N)c12,0.19458539141509298,True
phase2_7CHM_LIG_155012424,7CHM_LIG,-9.29,2,0,495.48,3.69,3,7,98.41,6.638,230.18,CNc1nc(Nc2cc(F)c(C(=O)N3CCN(C)C[C@@H]3C)cc2OC)nc2[nH]cc(C(F)(F)F)c12,0.18342917103415324,True
