cid,seed,smiles,sdf_file,conformer,MW,LogP,HBD,HBA,TPSA,RotBonds,HeavyAtoms,Rings,AromaticRings
108000,seed_1,CN1C=C(C2=CC=CC=C21)C(=O)C3CCC4=C(C3)NC=N4,kinase_domain/data/phase2b/raw/phase2b_seed_1_108000.sdf,3d,279.34,2.89,1,3,50.68,2,21,4,3
21608802,seed_1,CC(C)(C=C)C12CC3C(=O)NC(=CC4=CN=CN4)C(=O)N3C1NC5=CC=CC=C25,kinase_domain/data/phase2b/raw/phase2b_seed_1_21608802.sdf,3d,389.46,2.38,3,4,90.12,3,29,5,2
11494412,seed_1,C1CC2=C3C(=CC=C2)C(=CN3C1)C4C(C(=O)NC4=O)C5=CNC6=CC=CC=C65,kinase_domain/data/phase2b/raw/phase2b_seed_1_11494412.sdf,3d,369.42,3.59,2,3,66.89,2,28,6,4
25262792,seed_1,CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=CC=C4)C(=O)NC)N5CCOCC5C,kinase_domain/data/phase2b/raw/phase2b_seed_1_25262792.sdf,3d,462.55,2.5,1,8,92.71,4,34,5,3
107999,seed_1,CN1C=C(C2=CC=CC=C21)C(=O)C3CCC4=C(C3)NC=N4.Cl,kinase_domain/data/phase2b/raw/phase2b_seed_1_107999.sdf,2d,315.8,3.31,1,3,50.68,2,22,4,3
71245288,seed_1,CC1=CC(=C(C=C1N2C=C(N=C2)C3CC3)C(=O)NC4=CC=CC(=N4)C5=NN=CN5C(C)C)F,kinase_domain/data/phase2b/raw/phase2b_seed_1_71245288.sdf,3d,445.5,4.68,1,7,90.52,6,33,5,4
10298385,seed_1,CC1=C(C=CC(=C1)C(=O)N2CCCCC3=CC=CC=C32)CNC(=O)N4CCCC4C(=O)N(C)C,kinase_domain/data/phase2b/raw/phase2b_seed_1_10298385.sdf,3d,462.59,3.74,1,3,72.96,4,34,4,2
10409068,seed_1,CCCNC(=O)C1=CN2C(=C1C)C(=NC=N2)NC3=C(C=CC(=C3)C(=O)NC4CC4)C,kinase_domain/data/phase2b/raw/phase2b_seed_1_10409068.sdf,3d,406.49,3.12,3,6,100.42,7,30,4,3
135565545,seed_1,CN1C=C(C=N1)C2=C3C=NNC(=O)C4=C3C(=CC(=C4)NC(=O)C(C5CCCCC5)N)N2,kinase_domain/data/phase2b/raw/phase2b_seed_1_135565545.sdf,3d,419.49,2.49,4,6,130.19,4,31,5,3
5517,seed_1,C1CN(CC1N)C2=C(C=C3C(=O)C(=CN(C3=N2)C4=C(C=C(C=C4)F)F)C(=O)O)F,kinase_domain/data/phase2b/raw/phase2b_seed_1_5517.sdf,3d,404.35,2.04,2,6,101.45,3,29,4,3
11961293,seed_1,CC(C)C1=NC2=C(C=CC=C2N1)C(=O)NCC3CCN(CC3)CC4CCN(CC4)C(=O)OC,kinase_domain/data/phase2b/raw/phase2b_seed_1_11961293.sdf,3d,455.6,3.61,2,5,90.56,6,33,4,2
208947,seed_1,CC1=C2CCC(C(=O)N2C3=CC=CC=C13)CC4=C(NC=N4)C,kinase_domain/data/phase2b/raw/phase2b_seed_1_208947.sdf,3d,293.37,3.43,1,3,50.68,2,22,4,3
11315474,seed_1,C1CCC(C1)(C#N)C2=CC=C(C=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4,kinase_domain/data/phase2b/raw/phase2b_seed_1_11315474.sdf,3d,397.48,4.68,2,5,90.7,6,30,4,3
59215954,seed_1,CC1=C(NC(=C1C(=O)NC2CCN(C2)C(=O)N(C)C)C)C=C3C4=C(C=CC(=C4)F)NC3=O,kinase_domain/data/phase2b/raw/phase2b_seed_1_59215954.sdf,3d,439.49,2.75,3,3,97.54,3,32,4,2
3501,seed_1,CN1C2=CC=CC=C2C3=C4C(=C5C6=CC=CC=C6N(C5=C31)CCC#N)CNC4=O,kinase_domain/data/phase2b/raw/phase2b_seed_1_3501.sdf,3d,378.44,4.6,1,4,62.75,2,29,6,5
132916,seed_1,C1CN2C(=O)C(N=C(C3=CC=CC1=C32)C4=CC=CC=C4F)NC(=O)C5=CC6=CC=CC=C6N5,kinase_domain/data/phase2b/raw/phase2b_seed_1_132916.sdf,3d,438.46,3.8,2,3,77.56,3,33,6,4
10138259,seed_1,CC1=C(NC(=C1C(=O)NCC(CN2CCOCC2)O)C)C=C3C4=C(C=CC(=C4)F)NC3=O,kinase_domain/data/phase2b/raw/phase2b_seed_1_10138259.sdf,3d,442.49,1.69,4,5,106.69,6,32,4,2
71059525,seed_1,CC1=C(N=C(N1)NC(=O)C2=C(N=CC(=C2)CNC(=O)C(C)C)C(F)F)C3=CC=C(C=C3)C(F)(F)F,kinase_domain/data/phase2b/raw/phase2b_seed_1_71059525.sdf,3d,495.45,5.26,3,4,99.77,7,35,3,3
118480924,seed_1,CC1=CN=C(N1)C2=C3C(=C(C=C2)C4=C(C=C(C=C4)NC(=O)NC5=C(C=C(C=C5F)F)F)F)CNC3=O,kinase_domain/data/phase2b/raw/phase2b_seed_1_118480924.sdf,3d,495.44,5.5,4,3,98.91,4,36,5,4
155586901,seed_1,CCC1=CC2=C(C=C(C=N2)CN3CCN(CC3)C4=CN=C(C=C4)C(=O)NC)NC1=O,kinase_domain/data/phase2b/raw/phase2b_seed_1_155586901.sdf,3d,406.49,1.56,2,6,94.22,5,30,4,3
