ligand,hbond_total,hbond_pdon,hbond_ldon,hydrophobic,pi_stack,salt_bridge,water_bridge,hinge_residues,hbond_details,is_hinge_binder,MW,LogP,HBD,HBA,TPSA,RotBonds,SA_score,SA_class,PAINS,Brenk_alert,ro5_violations,passes_local,smiles,passes_admet,affinity_kcal,pIC50_gnn,pIC50_gnn_std,IC50_gnn_nM,gnn_confidence,vina_norm,pIC50_norm,combined_score_gnn
phase2b_seed_4_129116690,4,1,3,0,0,0,0,[605],GLY605(pdon)d=3.20a=164.5 | GLY605(ldon)d=3.35a=125.8 | GLY605(ldon)d=3.28a=148.1 | GLY605(ldon)d=3.35a=105.3,True,494.51,3.07,1,9,102.99,7,3.713,moderate,False,False,0,True,COC[C@H]1Cn2cc(-c3nc(Nc4ccnn4C)ncc3C)nc2C(=O)N1Cc1ccc(F)c(F)c1,True,-8.4,4.462,0.259,34522.37,low,0.5526315789473684,0.03462278264586449,0.2936271807966164
phase2b_seed_1_122685543,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=2.93a=162.4 | GLU603(ldon)d=3.56a=135.9 | GLY605(ldon)d=3.21a=115.0,True,412.5,3.8,3,6,97.86,5,2.694,easy,False,False,0,True,Cc1cc2c(C(N)=O)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)CCCN2,True,-8.4,5.026,0.151,9419.95,moderate,0.5526315789473684,0.15516135926480018,0.3538964691060843
phase2b_seed_1_5517,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.28a=172.4 | GLU603(ldon)d=2.71a=143.7 | GLY605(ldon)d=3.42a=112.4,True,404.35,2.04,2,6,101.45,3,3.071,moderate,False,False,0,True,N[C@H]1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,True,-8.4,6.411,0.096,387.9,high,0.5526315789473684,0.45116477879888867,0.5018981788731285
phase2b_seed_1_44603362,3,1,2,0,0,0,0,[605],GLY605(pdon)d=3.81a=159.2 | GLY605(ldon)d=3.96a=122.8 | GLY605(ldon)d=3.40a=111.6,True,389.46,3.23,1,5,79.6,4,2.502,easy,False,False,0,True,CC1(C)CN(C(=O)c2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)C1,True,-8.3,4.936,0.216,11585.99,low,0.5789473684210524,0.1359264800170977,0.3574369242190751
phase2b_seed_4_44199470,2,1,1,0,0,0,0,[605],GLY605(pdon)d=3.32a=157.6 | GLY605(ldon)d=2.98a=120.4,True,430.48,3.25,3,7,110.16,4,3.166,moderate,False,False,0,True,Nc1sc(-c2c(F)cccc2F)nc1C(=O)Nc1cnccc1N1CCC[C@H](N)C1,True,-8.3,8.979,0.346,1.05,low,0.5789473684210524,1.0,0.7894736842105262
phase2b_seed_2_72188645,2,0,2,0,0,0,0,[605],GLY605(ldon)d=3.78a=103.6 | GLY605(ldon)d=3.64a=170.3,True,390.41,3.5,1,4,58.12,2,4.071,moderate,False,False,0,True,Cc1cc(-c2ccc(C(F)(F)F)cc2)nc([C@H]2CC[C@@]3(CCN(C)C3=O)N2)n1,True,-8.3,4.441,0.097,36203.13,high,0.5789473684210524,0.030134644154733926,0.30454100628789316
phase2b_seed_1_46901383,3,1,2,0,0,0,0,"[603, 605]",GLY605(pdon)d=3.04a=170.3 | GLU603(ldon)d=3.94a=118.3 | GLY605(ldon)d=3.16a=100.9,True,380.5,2.4,3,6,96.17,5,2.541,easy,False,False,0,True,NC(=O)c1cc(-c2ccnc(NC3CCCCC3)c2)nc(N2CCNCC2)c1,True,-8.3,6.775,0.216,167.75,low,0.5789473684210524,0.5289591793118189,0.5539532738664357
phase2b_seed_0_24958200,4,1,3,0,0,0,0,"[603, 605]",GLY605(pdon)d=2.90a=175.2 | GLU603(ldon)d=4.05a=108.4 | GLY605(ldon)d=3.19a=112.7 | GLY605(ldon)d=3.18a=117.3,True,320.4,2.59,2,4,72.94,3,2.845,easy,False,False,0,True,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,True,-8.3,5.727,0.262,1873.32,low,0.5789473684210524,0.3049796965163498,0.4419635324687011
phase2b_seed_4_58386288,2,0,2,0,0,0,0,"[603, 605]",GLU603(ldon)d=4.04a=108.8 | GLY605(ldon)d=4.10a=165.5,True,428.44,2.95,2,6,86.0,3,3.52,moderate,False,False,0,True,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@@H](O)C1,True,-8.3,5.2,0.252,6311.53,low,0.5789473684210524,0.1923487924770251,0.38564808044903875
phase2b_seed_4_137449220,4,1,3,0,0,0,0,[605],GLY605(pdon)d=3.74a=160.8 | GLY605(ldon)d=3.13a=148.3 | GLY605(ldon)d=3.33a=124.6 | GLY605(ldon)d=2.86a=137.3,True,478.49,2.11,3,10,127.47,7,3.872,moderate,False,False,0,True,CNc1cc(Nc2cccn(-c3cncc(F)c3)c2=O)nc2c(C(=O)N[C@H]3CC[C@@H]3OC)cnn12,True,-8.3,6.29,0.544,513.05,low,0.5789473684210524,0.4253045522547554,0.5021259603379039
